clause_id,service_name,document_type,section_heading,clause_text_original,clause_text_clean,source_url,risk_level,risk_score,risk_categories,evidence_text,matched_rule_ids,label_method,label_confidence,needs_review,matched_tosdr_title,matched_tosdr_classification,matched_tosdr_topic_id,match_similarity,split,weak_label_notice
c3be7237ec989ccc,TikTok,privacy_policy,Others,"protect the rights, property, and safety of our users, copyright holders, and others, including to protect life or prevent imminent bodily harm. For example, we may provide information (such as your IP address) to law enforcement in the event of an emergency where someone’s life or safety is at risk,","protect the rights, property, and safety of our users, copyright holders, and others, including to protect life or prevent imminent bodily harm. For example, we may provide information (such as your IP address) to law enforcement in the event of an emergency where someone’s life or safety is at risk,",https://tiktok.com,Low,20,,,,default_low_unverified,0.25,True,,,,0.0965,train,AI-assisted weak label; requires human review before use as gold data
a79621bff391e9ff,Instagram,terms_of_service,4. Your Commitments,"Permission to use your username, profile picture, and information about your relationships and actions with accounts, ads, and sponsored content.","Permission to use your username, profile picture, and information about your relationships and actions with accounts, ads, and sponsored content.",https://instagram.com,Medium,60,tracking_profiling,profile,R003,explainable_rules,0.65,False,,,,0.0543,train,AI-assisted weak label; requires human review before use as gold data
a43e44046dd35ff4,PayPal,privacy_policy,Definitions,"Cookies means tracking technologies such as cookies, pixel tags, web beacons, and widgets.","Cookies means tracking technologies such as cookies, pixel tags, web beacons, and widgets.",https://paypal.com,Medium,60,tracking_profiling,tracking,R003,explainable_rules,0.65,False,,,,0.1763,train,AI-assisted weak label; requires human review before use as gold data
beecae71370a58e4,Netflix,privacy_policy,Advertising Choices,"Netflix supports the following self-regulatory programs, which provide additional privacy choices for Behavioral Advertising:","Netflix supports the following self-regulatory programs, which provide additional privacy choices for Behavioral Advertising:",https://netflix.com,Medium,60,tracking_profiling,Behavioral Advertising,R003,explainable_rules,0.65,False,,,,0.0374,train,AI-assisted weak label; requires human review before use as gold data
acd798c296f4a455,Netflix,privacy_policy,How can I exercise choice regarding these technologies?,"In addition to these choices, if you want to exercise your choices for Behavioral Advertising on Netflix, please see “Advertising Choices” above.","In addition to these choices, if you want to exercise your choices for Behavioral Advertising on Netflix, please see “Advertising Choices” above.",https://netflix.com,Medium,60,tracking_profiling,Behavioral Advertising,R003,explainable_rules,0.65,False,,,,0.0724,train,AI-assisted weak label; requires human review before use as gold data
4cc24df27cfc0244,PayPal,privacy_policy,When and How We Share Personal Information With Others,"Buyers in connection with business transfer. We may disclose Personal Information with a buyer in connection with a business transfer. For example, if we are involved in a merger, a purchase, or a sale of all or part of our business or assets, including receivables and debts, we may disclose, under appropriate data protection terms, your Personal Information to an interested or actual buyer of those business or assets. If PayPal or a significant portion of PayPal's assets are acquired by a third party, Personal Information may also be disclosed to that third party.","Buyers in connection with business transfer. We may disclose Personal Information with a buyer in connection with a business transfer. For example, if we are involved in a merger, a purchase, or a sale of all or part of our business or assets, including receivables and debts, we may disclose, under appropriate data protection terms, your Personal Information to an interested or actual buyer of those business or assets. If PayPal or a significant portion of PayPal's assets are acquired by a third party, Personal Information may also be disclosed to that third party.",https://paypal.com,Medium,60,third_party_sharing,"third party, Personal Information",R001,explainable_rules,0.65,False,,,,0.044,train,AI-assisted weak label; requires human review before use as gold data
e28f34fc88a745bc,Amazon,privacy_policy,How Secure Is Information About Me?,We follow the Payment Card Industry Data Security Standard (PCI DSS) when handling credit card data.,We follow the Payment Card Industry Data Security Standard (PCI DSS) when handling credit card data.,https://amazon.com,Low,20,,,,default_low_unverified,0.25,True,,,,0.103,train,AI-assisted weak label; requires human review before use as gold data
103def9bff06b328,TikTok,privacy_policy,Partners,"Third Party Platforms and Partners. We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform, or with whom we have a commercial relationship. We do this to give you a seamless experience, allow your content to be shared on other platforms, allow sellers to view and manage your orders through our shopping features, and enable third party platforms and partners to better authenticate users. Some examples include if you:","Third Party Platforms and Partners. We share limited information which may include Information You Provide, Technical Information, and Usage Information with third party platforms and partners whose platform or services are integrated with the Platform, or with whom we have a commercial relationship. We do this to give you a seamless experience, allow your content to be shared on other platforms, allow sellers to view and manage your orders through our shopping features, and enable third party platforms and partners to better authenticate users. Some examples include if you:",https://tiktok.com,Medium,60,third_party_sharing,"Provide, Technical Information, and Usage Information with third party",R001,explainable_rules,0.65,False,,,,0.0397,train,AI-assisted weak label; requires human review before use as gold data
26a78589ba1cce46,Pinterest,terms_of_service,More simply put,"If we're making a material change to the Terms, we'll let you know ahead of time. If you don’t agree with the new Terms, please stop using Pinterest.","If we're making a material change to the Terms, we'll let you know ahead of time. If you don’t agree with the new Terms, please stop using Pinterest.",https://pinterest.com,Low,20,,,,default_low_unverified,0.25,True,,,,0.0636,train,AI-assisted weak label; requires human review before use as gold data
4f343562821132ec,Discord,terms_of_service,Settling disputes between you and Discord,"Only after engaging in the Informal Dispute Resolution process set forth in these Terms, and only after those efforts fail to resolve the Dispute, then either Party may initiate binding arbitration as the sole means to resolve Disputes, subject to the terms of this Agreement to Arbitrate and the applicable arbitration rules.","Only after engaging in the Informal Dispute Resolution process set forth in these Terms, and only after those efforts fail to resolve the Dispute, then either Party may initiate binding arbitration as the sole means to resolve Disputes, subject to the terms of this Agreement to Arbitrate and the applicable arbitration rules.",https://discord.com,High,90,liability_dispute,binding arbitration,R011,explainable_rules,0.75,True,,,,0.1283,train,AI-assisted weak label; requires human review before use as gold data
